API,WellName,FieldName,BestModel,Best_D,Point_Forecast,CI_Lower_90,CI_Upper_90,CI_Width,Significant,Below_Threshold
33009002050000,NEWBURG-SPEARFISH-CHARLES UNIT     R-712,NEWBURG,Hyperbolic,0.07238659709346891,36.7,1.9,71.6,69.7,False,True
33009002820000,NEWBURG-SPEARFISH-CHARLES UNIT     I-719,NEWBURG,Hyperbolic,0.061254384435627,109.6,0.0,267.1,267.1,False,True
33009024170000,NSCU  G-718-H1,NEWBURG,Hyperbolic,0.025847757523979952,199.8,0.0,554.6,554.6,False,True
33013009220000,PETERSON     42-23,FLAXTON,Hyperbolic,0.022124130905812556,101.4,0.0,210.8,210.8,False,True
33013009360000,GUDRUN     1,FLAXTON,Exponential,0.013943427432097425,126.4,69.6,183.2,113.6,False,True
33013010740000,HARMS     21-9,FLAXTON,Hyperbolic,0.024874206267128274,60.2,0.0,143.9,143.9,False,True
33013017530000,BRATLAND  3-1H,PORTAL,Exponential,0.0426671122504899,434.8,316.1,553.6,237.5,False,False
33013017910000,BUSCH  5-1H,PORTAL,Hyperbolic,0.12030007649092388,386.4,201.9,570.8,368.9,False,False
33013018180000,BUSCH TRUST  31-30 164-92 A,PORTAL,Hyperbolic,0.11721838064984635,314.4,0.0,664.3,664.3,False,False
33013018190000,BUSCH TRUST  31-30 164-92 B,PORTAL,Exponential,0.0715486964094232,508.6,298.0,719.3,421.3,False,False
33013018200000,BUSCH TRUST  06-07 163-92 B,PORTAL,Hyperbolic,0.10412766080656154,278.2,0.0,651.2,651.2,False,True
33023001340000,HOWARD     1,HAMLET,Hyperbolic,0.007762104892525569,589.8,0.0,1190.6,1190.6,False,False
33023006250000,FARVER   1-29H,HAMLET,Exponential,0.048746432809295255,72.4,48.2,96.6,48.5,False,True
33023007030000,SALO  2-35H,HAMLET,Hyperbolic,0.059555412811263635,296.7,119.5,473.8,354.3,False,True
33023008080000,TORGESON  2-30HNA,WEST AMBROSE,Exponential,0.018849082986321663,953.9,770.0,1137.8,367.7,False,False
33023008270000,CPEUSC FAIRHOLM  33-34-164N-100W,WEST AMBROSE,Exponential,0.034284438398763564,1187.0,816.9,1557.1,740.2,False,False
33023008570000,CPEUSC ALDAG  36-35-164N-100W,WEST AMBROSE,Exponential,0.015200887988017775,2067.1,1421.1,2713.1,1292.0,False,False
33023013340000,CPEUSC ALDAG  4-36-35-164N-100W,WEST AMBROSE,Exponential,0.029401596946245133,3126.7,2270.4,3983.0,1712.6,False,False
33023013650000,LARSON FEDERAL   15-34H,WEST AMBROSE,Hyperbolic,0.16512486852576266,1123.0,693.4,1552.5,859.1,True,False
33023013700000,CPEUSC FAIRHOLM  4-33-34-164N-100W,WEST AMBROSE,Exponential,0.03399582479800903,2320.1,1684.3,2956.0,1271.8,False,False
33023013610000,HERLAND  14-12HN,BURG,Hyperbolic,0.1350844327246612,663.2,195.1,1131.4,936.3,False,False
33023013620000,HERLAND  14-12HS,BURG,Hyperbolic,0.17844564521791723,1008.9,394.9,1622.8,1227.8,False,False
33105039260000,ELIAS  1-21H,BURG,Exponential,0.02557055539348906,1254.8,980.6,1528.9,548.3,False,False
33023013790000,BISSONNETTE  14B-31HS,SKABO,Hyperbolic,0.14251862443652505,412.4,0.0,1020.4,1020.4,False,False
33023013820000,HAY FARMS   14B-20HN,SKABO,Hyperbolic,0.09938257714303848,458.5,0.0,1362.2,1362.2,False,False
33023013930000,NYSTUEN  14B-35HS,SKABO,Exponential,0.04373348421622826,1324.6,1016.6,1632.7,616.1,False,False
33025003160000,PATTEN     5C-2-1,LITTLE KNIFE,Exponential,0.01881062624963569,78.0,42.0,114.1,72.1,False,True
33025008330000,HAMILTON  35-1H,LITTLE KNIFE,Hyperbolic,0.018007931420846404,574.8,259.1,890.5,631.4,False,False
33025023480000,MARINENKO   145-97-30B-31-3H,LITTLE KNIFE,Hyperbolic,0.2577939185720314,1607.2,0.0,3358.0,3358.0,False,False
33025006460000,BENZ   24-21H,BAILEY,Hyperbolic,0.08371604098772943,2121.2,689.3,3553.2,2864.0,False,False
33025016980000,DIAMOND A  34-21TFH,BAILEY,Exponential,0.018005720465521267,1261.7,639.3,1884.1,1244.8,False,False
33025026580000,TRINITY  14-21H,BAILEY,Hyperbolic,0.33842199364365017,2448.2,800.4,4096.1,3295.7,False,False
33025026590000,RINGER  14-21TFH,BAILEY,Hyperbolic,0.15962404104260114,1940.2,0.0,4145.1,4145.1,False,False
