API,WellName,FieldName,BestModel,Best_D,Last_Production,Significant,Forecast_M1,Forecast_M2,Forecast_M3,Forecast_M4,Forecast_M5,Forecast_M6,Crosses_Threshold,Months_Until_Threshold
33009002050000,NEWBURG-SPEARFISH-CHARLES UNIT     R-712,NEWBURG,Hyperbolic,0.07238659709346891,65.0,False,38.8,37.7,36.7,35.8,34.9,34.0,True,1.0
33009002820000,NEWBURG-SPEARFISH-CHARLES UNIT     I-719,NEWBURG,Hyperbolic,0.061254384435627,118.0,False,116.6,113.0,109.6,106.4,103.4,100.5,True,1.0
33009024170000,NSCU  G-718-H1,NEWBURG,Hyperbolic,0.025847757523979952,169.0,False,209.6,204.7,199.8,195.1,190.4,185.9,True,1.0
33013009220000,PETERSON     42-23,FLAXTON,Hyperbolic,0.022124130905812556,77.0,False,104.1,102.7,101.4,100.2,98.9,97.7,True,1.0
33013009360000,GUDRUN     1,FLAXTON,Exponential,0.013943427432097425,119.0,False,130.0,128.2,126.4,124.6,122.9,121.2,True,1.0
33013010740000,HARMS     21-9,FLAXTON,Hyperbolic,0.024874206267128274,63.0,False,63.1,61.6,60.2,58.8,57.5,56.2,True,1.0
33013017530000,BRATLAND  3-1H,PORTAL,Exponential,0.0426671122504899,662.0,False,473.6,453.8,434.8,416.7,399.3,382.6,False,
33013017910000,BUSCH  5-1H,PORTAL,Hyperbolic,0.12030007649092388,498.0,False,405.2,395.6,386.4,377.6,369.2,361.1,False,
33013018180000,BUSCH TRUST  31-30 164-92 A,PORTAL,Hyperbolic,0.11721838064984635,692.0,False,358.6,335.6,314.4,294.7,276.5,259.6,True,4.0
33013018190000,BUSCH TRUST  31-30 164-92 B,PORTAL,Exponential,0.0715486964094232,769.0,False,586.9,546.3,508.6,473.5,440.8,410.4,False,
33013018200000,BUSCH TRUST  06-07 163-92 B,PORTAL,Hyperbolic,0.10412766080656154,491.0,False,309.8,293.5,278.2,264.0,250.6,238.1,True,2.0
33023001340000,HOWARD     1,HAMLET,Hyperbolic,0.007762104892525569,558.0,False,597.2,593.5,589.8,586.2,582.6,579.1,False,
33023006250000,FARVER   1-29H,HAMLET,Exponential,0.048746432809295255,49.0,False,79.8,76.0,72.4,69.0,65.7,62.5,True,1.0
33023007030000,SALO  2-35H,HAMLET,Hyperbolic,0.059555412811263635,349.0,False,308.4,302.4,296.7,291.1,285.8,280.6,True,3.0
33023008080000,TORGESON  2-30HNA,WEST AMBROSE,Exponential,0.018849082986321663,993.0,False,990.6,972.1,953.9,936.1,918.6,901.5,False,
33023008270000,CPEUSC FAIRHOLM  33-34-164N-100W,WEST AMBROSE,Exponential,0.034284438398763564,839.0,False,1271.3,1228.4,1187.0,1147.0,1108.3,1071.0,False,
33023008570000,CPEUSC ALDAG  36-35-164N-100W,WEST AMBROSE,Exponential,0.015200887988017775,1983.0,False,2130.9,2098.7,2067.1,2035.9,2005.2,1974.9,False,
33023013340000,CPEUSC ALDAG  4-36-35-164N-100W,WEST AMBROSE,Exponential,0.029401596946245133,2350.0,False,3316.0,3220.0,3126.7,3036.1,2948.1,2862.7,False,
33023013650000,LARSON FEDERAL   15-34H,WEST AMBROSE,Hyperbolic,0.16512486852576266,1088.0,True,1180.2,1150.9,1123.0,1096.4,1071.0,1046.8,False,
33023013700000,CPEUSC FAIRHOLM  4-33-34-164N-100W,WEST AMBROSE,Exponential,0.03399582479800903,1790.0,False,2483.4,2400.4,2320.1,2242.6,2167.6,2095.2,False,
33023013610000,HERLAND  14-12HN,BURG,Hyperbolic,0.1350844327246612,903.0,False,712.3,687.1,663.2,640.7,619.3,599.1,False,
33023013620000,HERLAND  14-12HS,BURG,Hyperbolic,0.17844564521791723,1213.0,False,1064.7,1036.0,1008.9,983.0,958.4,935.0,False,
33105039260000,ELIAS  1-21H,BURG,Exponential,0.02557055539348906,1396.0,False,1320.6,1287.2,1254.8,1223.1,1192.2,1162.1,False,
33023013790000,BISSONNETTE  14B-31HS,SKABO,Hyperbolic,0.14251862443652505,642.0,False,449.4,430.3,412.4,395.6,379.7,364.8,False,
33023013820000,HAY FARMS   14B-20HN,SKABO,Hyperbolic,0.09938257714303848,700.0,False,510.1,483.4,458.5,435.1,413.3,392.8,False,
33023013930000,NYSTUEN  14B-35HS,SKABO,Exponential,0.04373348421622826,1668.0,False,1445.7,1383.8,1324.6,1267.9,1213.7,1161.8,False,
