API,Pre_Shutdown,Post_Recovery,Recovery_Ratio
33009002050000,156.0,156.0,1.0
33009002820000,224.0,224.0,1.0
33009002820000,213.0,166.0,0.7793427230046949
33013009220000,118.0,136.0,1.152542372881356
33013009220000,144.0,145.0,1.0069444444444444
33013009360000,155.0,165.0,1.064516129032258
33013009360000,225.0,181.0,0.8044444444444444
33013009360000,145.0,209.0,1.4413793103448276
33013017530000,1148.0,1148.0,1.0
33013017530000,399.0,431.0,1.0802005012531328
33013017910000,1915.0,1915.0,1.0
33013018200000,621.0,287.0,0.46215780998389694
33023001340000,380.0,862.0,2.268421052631579
33023001340000,862.0,777.0,0.9013921113689095
33023001340000,392.0,827.0,2.1096938775510203
33023006250000,356.0,356.0,1.0
33023007030000,1061.0,1061.0,1.0
33023008080000,707.0,1803.0,2.55021216407355
33023008570000,1612.0,1497.0,0.9286600496277916
33023013610000,5455.0,5455.0,1.0
33023013610000,2834.0,3040.0,1.0726887791107975
33023013620000,6900.0,6900.0,1.0
33023013620000,3700.0,3201.0,0.8651351351351352
33023013650000,3052.0,3823.0,1.2526212319790302
33023013820000,2604.0,2300.0,0.8832565284178188
33023013930000,5749.0,5749.0,1.0
33025006460000,11394.0,11394.0,1.0
33025009240000,4301.0,6377.0,1.4826784468728202
33025009240000,3926.0,1910.0,0.48650025471217523
33025009240000,3862.0,2470.0,0.6395649922320041
33025014280000,5496.0,5496.0,1.0
33025015400000,3914.0,3914.0,1.0
33025016980000,1130.0,1130.0,1.0
33025016980000,812.0,2298.0,2.8300492610837438
33025016980000,1504.0,1729.0,1.1496010638297873
33025017230000,1330.0,3984.0,2.995488721804511
33025020680000,1337.0,3916.0,2.9289454001495887
33025020680000,469.0,25.0,0.053304904051172705
33025021550000,2605.0,3579.0,1.3738963531669866
33025021550000,2444.0,1771.0,0.7246317512274959
33025023480000,18813.0,18813.0,1.0
33025023920000,4584.0,4584.0,1.0
33025024180000,5471.0,5471.0,1.0
33025024180000,2054.0,1867.0,0.9089581304771178
33025024180000,1644.0,2412.0,1.467153284671533
33025025350000,5209.0,10015.0,1.9226339028604338
33025025350000,6384.0,5889.0,0.9224624060150376
33025026070000,3434.0,5645.0,1.643855562026791
33025026210000,21700.0,27290.0,1.2576036866359448
33025026210000,2908.0,2812.0,0.9669876203576341
33025026520000,10345.0,10345.0,1.0
33025026520000,8449.0,8241.0,0.9753817019765653
33025026520000,1476.0,3016.0,2.043360433604336
33025026580000,4708.0,5587.0,1.1867034834324555
33025026580000,1167.0,2495.0,2.13796058269066
33025026590000,13526.0,13526.0,1.0
33025026590000,927.0,2287.0,2.4670981661272924
33025026600000,3448.0,2389.0,0.6928654292343387
33025026600000,2250.0,2315.0,1.028888888888889
33025026610000,16659.0,16659.0,1.0
33025026610000,4627.0,5406.0,1.1683596282688566
33025026610000,1913.0,1911.0,0.9989545216936748
33025026610000,924.0,2246.0,2.430735930735931
33025026820000,26494.0,26494.0,1.0
33025026820000,8973.0,14852.0,1.6551877855789592
33025027280000,5058.0,14670.0,2.900355871886121
33025027290000,4060.0,3658.0,0.9009852216748768
33025027370000,4783.0,6020.0,1.2586242943759147
33025027390000,5655.0,8011.0,1.4166224580017683
33025028290000,9667.0,8678.0,0.8976931829936898
33025028630000,17236.0,17236.0,1.0
33025028630000,8407.0,14297.0,1.7006066373260378
33025028650000,1528.0,4299.0,2.81348167539267
33025028660000,6113.0,5289.0,0.8652053001799443
33025028820000,7989.0,7741.0,0.9689573163099261
33025028830000,7072.0,5605.0,0.7925622171945701
33025028840000,24814.0,8612.0,0.3470621423390022
33025028970000,10090.0,10090.0,1.0
33025028970000,11378.0,13067.0,1.1484443663209702
33025029010000,15762.0,23646.0,1.5001903311762466
33025029010000,7563.0,11649.0,1.5402618008726696
33025029020000,25697.0,16947.0,0.659493326069191
33025029020000,2025.0,888.0,0.43851851851851853
33025029030000,17356.0,25516.0,1.4701544134593225
33025029030000,16201.0,14610.0,0.9017961854206531
33025029030000,3014.0,2228.0,0.7392169873921699
33025029030000,1131.0,1225.0,1.0831122900088417
33025029050000,8153.0,11992.0,1.4708696185453207
33025029050000,11335.0,7932.0,0.6997794441993824
33025029050000,3850.0,6051.0,1.5716883116883116
